query    year    count
cisa.gov    2010    40
cisa.gov    2011    98
cisa.gov    2012    115
cisa.gov    2013    86
cisa.gov    2014    197
cisa.gov    2015    138
cisa.gov    2016    295
cisa.gov    2017    317
cisa.gov    2018    418
cisa.gov    2019    1210
cisa.gov    2020    1950
cisa.gov    2021    1210
cisa.gov    2022    3040
cisa.gov    2023    3360
cisa-ransomware 2010    0
cisa-ransomware 2011    0
cisa-ransomware 2012    0
cisa-ransomware 2013    0
cisa-ransomware 2014    0
cisa-ransomware 2015    2
cisa-ransomware 2016    8
cisa-ransomware 2017    8
cisa-ransomware 2018    26
cisa-ransomware 2019    63
cisa-ransomware 2020    212
cisa-ransomware 2021    345
cisa-ransomware 2022    542
cisa-ransomware 2023    1560
cisa-ddos   2010    1
cisa-ddos   2011    1
cisa-ddos   2012    2
cisa-ddos   2013    3
cisa-ddos   2014    4
cisa-ddos   2015    3
cisa-ddos   2016    8
cisa-ddos   2017    21
cisa-ddos   2018    62
cisa-ddos   2019    10
cisa-ddos   2020    62
cisa-ddos   2021    34
cisa-ddos   2022    79
cisa-ddos   2023    212
